,roi_id,5HT1a,5HT1b,5HT2a,5HT4,5HT6,5HTT,A4B2,CB1,D1,D2,DAT,GABAa-bz,H3,M1,MU,NAT,NMDA,VAChT,mGluR5,vox_id,pls_x_score_0
12345,54.0,-1.0855806,0.06436678,-0.73692065,-0.74709845,-0.6209091,-0.44200233,0.07550952,-0.18416111,-1.3770916,-0.52348495,-0.7445957,0.20418255,-0.46145433,-0.49829656,-1.099261,1.8190317,-0.90938205,-0.2714316,-1.2030874,12345,-1.138543117318405
12346,103.0,1.4831759,-0.7425027,-0.07508223,-0.112839594,0.2362731,0.8027509,-0.53868127,0.29934675,0.8536842,0.63130563,1.3055017,-1.0015111,0.5341494,0.067052595,0.42794263,-0.26554495,-0.09326525,0.26470292,-0.4194765,12346,-6.088902414362272
12350,106.0,1.5003096,-0.017996415,-0.858111,-0.8328897,0.715773,0.8481879,-0.78328437,0.3413135,0.78154945,0.2856689,0.8946044,-0.20705946,0.6826835,0.5793013,0.44182152,0.7601357,-0.5267165,0.36652336,1.0282499,12350,2.7705219871033178
12353,101.0,0.008154818,-0.48666412,-0.46584216,-0.46610457,-0.3125625,0.20145953,-0.42034388,-0.9306569,0.20675206,-0.114328355,0.8439129,0.28669208,-0.74672943,-0.5935243,0.02533906,0.5603637,0.743901,0.44863856,0.8629373,12353,-2.424202408072571
12355,8.0,-0.9477448,-0.07976529,-0.2232993,-0.3037416,-1.5254406,-0.06492961,-0.5198095,-2.4560938,-0.13759834,-0.6725447,0.49443096,-0.73172307,-1.309998,-1.8385869,-1.0557548,0.44130248,0.6734067,0.48570144,-1.0342035,12355,-4.278250110059432
12359,8.0,-0.7068521,0.4487351,0.8792078,0.7920749,-0.37291762,0.78746825,0.27525297,-1.266067,-0.40789354,-0.4809993,-0.050506637,1.274527,-0.1749655,-0.5823614,-0.8037045,1.6308308,0.007990607,0.00045488277,-0.6179101,12359,0.9589885835018032
12360,8.0,-0.57668805,0.5609697,-0.81114113,-0.7898917,-0.27137747,-0.3116226,0.2005648,-1.002435,-0.39949188,-0.5013096,-0.3254128,0.37152457,-0.110491976,-0.5554081,-0.7715523,1.6037471,-0.47648355,-0.16459395,-0.6677213,12360,2.0920837531119227
12365,167.0,1.6529772,-0.11123398,-0.7180393,-0.6930199,0.9126414,0.90569395,-0.69146854,0.7984616,0.9184975,0.5648439,1.0076869,0.04187397,0.75286,0.7768274,0.6948939,0.72432894,0.5233218,0.46320367,1.0557896,12365,0.6379003693919015
12369,102.0,-0.27953553,-0.9918362,0.26923352,0.2546567,-0.41873738,0.5548208,-0.57339877,-1.1337678,-0.1529615,-0.17551638,0.864872,0.3104401,-1.0642565,-1.1929986,-0.21026918,0.76902014,0.6496409,0.4822125,0.54337364,12369,-4.1174941059901515
12375,54.0,-1.2313439,-0.18229008,-0.20844789,-0.30678284,-0.9728458,-0.53591114,0.25266686,0.1740506,-1.5609692,-0.54983497,-0.78261465,-0.55922437,-0.36906797,-0.62683666,-0.8769398,0.6571279,-0.778656,-0.2317094,-1.079597,12375,-1.3376106928898086
12381,167.0,2.0992172,-0.21165612,-0.62521046,-0.60593677,1.164514,0.9859826,-0.7647767,1.2080636,0.8844105,0.80038416,1.1310045,0.11210569,1.0301948,1.0100222,0.8211541,0.4047181,0.57840526,0.5267622,0.9918285,12381,-1.878469530568431
12385,102.0,0.5602648,-0.49855945,-0.14588663,-0.044923235,0.09925932,0.7104193,-0.44815648,-0.38378724,0.47488678,0.062280964,0.9326233,0.3959978,-0.73249406,-0.24337523,0.3443231,1.3786744,0.48661026,0.40143836,1.1184655,12385,-2.200229748365439
12396,102.0,1.5504317,0.12854989,-0.29823604,-0.14944957,0.6482358,0.95311916,-0.33902675,0.46463045,0.89905345,0.2980997,1.0330325,0.2349391,-0.066501185,0.6427882,0.8855983,1.1601777,0.6518117,0.3212018,1.3392664,12396,-1.0111240645277486
12397,115.0,0.37332985,-0.6508084,0.33136922,0.5293382,0.027905764,0.88325405,-0.5169506,-0.49164584,0.2610031,0.0093964785,0.9443216,0.0765849,-0.99363154,-0.56748486,0.31809384,1.0525615,0.5263879,0.43579867,0.8193986,12397,-3.4447242864711525
