roi_id,5HT1a,5HT1b,5HT2a,5HT4,5HT6,5HTT,A4B2,CB1,D1,D2,DAT,FDOPA,GABAa-bz,M1,MU,NAT,NMDA,VAChT,mGluR5
22.0,26.949371,1.7744911,0.0,0.0,0.48135522,0.0,9.814934,1.3175224,7.833,1.0246029,24.519466,29.729076,59.70783,4.002678,7.58053,6.538066,6.737311,9.679497,2.404141
23.0,38.9111,24.618553,29.60244,1.2293782,0.50178164,4.6282105,9.97444,1.2392938,14.750001,0.89710695,28.339632,35.435776,816.49664,3.8544486,9.549065,7.044607,7.3476624,10.6683235,2.4692776
24.0,39.507736,26.470772,7.6498594,0.32569927,0.54761994,8.732189,10.074608,1.2890037,18.7295,1.0219693,31.544182,32.878326,510.16034,4.4051485,9.248562,9.357605,7.421582,13.667198,2.5614722
25.0,26.999725,20.57147,29.883629,1.3126357,0.47484952,2.163819,9.869735,1.3449798,10.984,1.0225823,25.164032,30.28791,403.24716,3.8931384,13.623627,5.9732943,6.1751513,10.601715,2.614131
26.0,22.853786,22.26175,20.804379,0.74342245,0.38792384,0.94332683,10.248723,1.2878822,2.692,0.63676566,18.668072,25.448677,534.9967,3.589254,13.556226,5.9491796,6.4785404,9.663413,2.1563225
27.0,31.949827,18.206516,28.186277,1.1477929,0.5201825,3.665779,10.150588,1.3605194,17.173,0.8141326,27.964777,36.259796,502.5926,4.551762,13.641644,4.2856283,7.8171706,11.111694,2.5228431
28.0,20.793787,0.54581,38.3435,1.6825588,0.48232666,1.6432669,10.477779,1.4356123,4.5095005,1.1388905,24.298515,25.644943,616.75055,4.2949953,11.92981,4.453545,4.810952,10.510796,2.6261787
29.0,26.407667,18.506979,30.772339,1.2832237,0.5047443,1.7361896,9.882674,1.2851987,13.114,0.7408911,23.77128,36.026073,764.8439,4.0285115,9.417923,5.850309,7.231138,10.176202,2.3645525
30.0,31.098362,22.744644,40.891834,1.4023392,0.65023804,5.914529,10.659801,1.3476384,21.2845,0.82089597,29.456577,36.6748,794.4863,4.7822523,11.2623005,8.530842,8.418347,11.126049,2.6372128
31.0,24.434645,14.097828,14.093895,0.48211205,0.44745737,5.1421003,9.67534,1.213037,21.7865,0.6347149,29.747623,33.201935,476.39398,3.8370185,8.021753,5.824174,7.5887976,10.450443,2.271884
32.0,37.090668,23.248678,0.6404844,0.021879397,0.48608136,7.818079,11.207887,1.4255612,20.600502,0.94617164,31.164757,37.30405,537.4745,4.2599993,17.458633,6.668414,7.3003974,14.022176,2.7006183
33.0,32.435074,20.725824,0.14495414,0.0,0.39897382,6.1794224,8.710962,1.2437139,23.016,0.5449716,30.297714,35.65901,92.589264,3.546349,11.023717,5.6286135,7.9820914,10.7060175,2.5522604
34.0,35.807365,23.925858,0.09630069,0.0036767777,0.5876,6.7493033,10.878021,1.3668509,24.514502,0.82003474,30.66038,36.677795,330.38348,4.520772,15.05271,6.2944665,7.9514985,12.59507,2.814044
35.0,25.827816,18.121508,0.0,0.0,0.5374359,3.7070599,10.927633,1.3107429,19.329502,0.72461855,30.885902,34.64322,373.1973,3.7715442,12.545931,6.14516,7.193186,11.8784275,2.4887452
36.0,25.293741,13.024591,25.968084,1.043246,0.31925073,3.4085462,9.025971,1.2577553,10.242001,0.5331042,24.350323,34.437965,713.98785,3.5266063,9.228549,4.919259,5.7954106,10.54192,2.145803
37.0,21.285133,9.700552,4.4471207,0.25942695,0.4225739,1.4112406,10.116932,1.2839236,10.581,0.6383584,29.51448,32.902294,387.24182,3.494333,10.209199,5.5605474,6.586288,11.449029,2.2218409
38.0,26.956999,17.73036,1.4792403,0.030335374,0.40693617,4.7837763,10.310888,1.2967607,17.787,0.678775,31.106852,35.38484,427.30496,3.2471082,14.226944,6.3673553,6.8424883,13.013999,2.4925263
39.0,0.0,0.114879794,9.086098,0.412763,0.024822906,0.82916117,7.442573,1.2026207,-0.003,0.3856757,0.0,0.0,580.9124,3.0824575,0.2717184,-0.030095115,3.3537078,7.64167,1.793257
40.0,26.366467,17.90414,19.702484,0.81536233,0.41152167,5.865507,10.481785,1.3951896,13.753501,0.68083525,29.491625,35.402817,577.9373,4.0463734,12.847153,10.237112,7.3728333,13.335542,2.2930932
41.0,21.75512,14.084282,0.017528571,0.18406749,0.36717647,3.7209692,11.162597,1.3242673,15.464001,0.72185,30.661903,35.416298,384.365,3.3676443,15.463682,10.220553,6.293585,13.544949,2.3960114
