,ext_pet_vox_pls_0,domain
83,-3.4030960219137203,face
84,-4.916933846526619,face
85,-8.285442756632978,face
86,-3.2514886794735967,face
87,-5.60279290955514,face
88,-2.3941586328052464,face
89,-2.976481012284738,face
90,7.912633186600738,face
91,5.729558303802672,face
92,5.5980452094611675,face
93,4.4940828204479155,face
94,-3.520177351346686,face
95,-4.248189445656518,face
96,-5.0131935851972305,face
97,-6.090619021862936,face
98,-2.872390103230871,face
99,-3.3795201484036883,face
100,-2.0880883114747606,face
101,4.838854640883639,face
102,-5.492264612957318,face
103,-2.3389628178831283,face
104,-3.2142543030902773,face
105,-2.6871009140552737,face
106,-2.2208884502825232,face
107,-3.8965581098331836,face
108,-2.220643522076012,face
109,-2.422790299314682,face
110,-10.8051192702414,face
111,5.004901681864842,face
112,1.990533854693403,face
113,-3.942054821492882,face
114,-5.03621447530976,face
115,-3.8635613461155422,face
116,-6.69258383312005,face
117,-7.596212443484444,face
118,-8.49496923948114,face
119,1.0410753342283974,face
120,-2.895091244924486,face
121,-3.374574925657916,face
122,-3.642190999530754,face
123,-4.425832888210241,face
124,-3.4855791830940914,face
125,-4.516796753328862,face
126,-2.57554761282136,face
127,-1.152467170363769,face
128,-1.689484168085707,face
129,2.378561685716135,face
130,-3.426049819301176,face
131,1.2606674608606938,face
132,1.811535632323713,face
133,-3.8207045334960865,face
134,-1.329763205703001,face
135,-0.8199585842036803,face
136,-2.3289443399717165,face
137,-7.259270059192262,face
138,-7.134760955856649,face
139,-8.778017412006246,face
140,-5.888710530422689,face
141,-5.14040492877496,face
142,-1.3743908125101636,face
143,0.04737109853852169,face
144,-3.4751070428402406,face
145,-3.367072896193183,face
146,-2.9527713946558025,face
147,-5.45549454686203,face
148,-6.804709881911652,face
149,-5.592198541569909,face
150,-5.957045886737995,face
151,-4.41648921216433,face
152,-3.4237922746061464,face
153,-3.5347321351453784,face
154,-5.754880715283167,face
155,-2.6919363893138137,face
156,-3.7472737935337177,face
157,-2.2800445801326883,face
158,-3.689474300628506,face
159,-3.621028061756298,face
160,-4.005482119448823,face
161,-0.45927867970272757,face
162,-0.27392594158321276,face
163,-4.361460196325573,face
164,-3.9910133584799015,face
165,-2.9045364269697567,face
166,-2.462726163907247,face
167,-1.278329168908846,face
168,-1.7498447865131879,face
169,-1.969314162768792,face
170,-4.800866835444921,face
171,-6.088534424327283,face
