,ext_pet_vox_pls_0,domain
1703,5.9690877210779645,autobiographical memory
1704,5.099208199301845,autobiographical memory
1705,1.9358491816621088,autobiographical memory
1706,0.8244706177196351,autobiographical memory
1707,7.255280911010364,autobiographical memory
1708,5.953905127081563,autobiographical memory
1709,3.9095100348707605,autobiographical memory
1710,3.0020463289607004,autobiographical memory
1711,1.8858019036227578,autobiographical memory
1712,0.365322169382641,autobiographical memory
1713,-1.8366271876274356,autobiographical memory
1714,-3.4420446478688844,autobiographical memory
1715,8.820569151036922,autobiographical memory
1716,8.91484758833549,autobiographical memory
1717,7.742368324524497,autobiographical memory
1718,4.759580669844121,autobiographical memory
1719,3.115588895405387,autobiographical memory
1720,0.9441056328789267,autobiographical memory
1721,-1.8287323912553943,autobiographical memory
1722,-3.3803594673819313,autobiographical memory
1723,8.933087742868448,autobiographical memory
1724,8.763632486380574,autobiographical memory
1725,9.365315455224392,autobiographical memory
1726,9.4086168212499,autobiographical memory
1727,8.871472857602779,autobiographical memory
1728,9.207604064337435,autobiographical memory
1729,-2.805432527164269,autobiographical memory
1730,-1.8648731552884752,autobiographical memory
1731,3.4046065781638783,autobiographical memory
1732,-2.242064799314971,autobiographical memory
1733,2.291184811312551,autobiographical memory
1734,1.6358677425002255,autobiographical memory
1735,8.818151995727554,autobiographical memory
1736,1.4014593956422512,autobiographical memory
1737,8.103301444390594,autobiographical memory
1738,7.071400106419839,autobiographical memory
1739,4.093085570886486,autobiographical memory
1740,2.853023831487325,autobiographical memory
1741,7.834113143375351,autobiographical memory
1742,7.542122164021404,autobiographical memory
1743,4.827597984366633,autobiographical memory
1744,1.930015001967363,autobiographical memory
1745,1.3719517507520842,autobiographical memory
1746,-0.35062502656754957,autobiographical memory
1747,6.88032172219947,autobiographical memory
1748,6.098228343903555,autobiographical memory
1749,4.348936335378231,autobiographical memory
1750,2.8692309473251103,autobiographical memory
1751,1.5438779715593032,autobiographical memory
1752,0.47688795959902375,autobiographical memory
1753,-1.3286439459473776,autobiographical memory
1754,6.233623402310365,autobiographical memory
1755,7.005582069659979,autobiographical memory
1756,5.3513191931568596,autobiographical memory
1757,6.8318639302728235,autobiographical memory
1758,6.726158270043164,autobiographical memory
1759,6.791890971899745,autobiographical memory
1760,-3.02953600372961,autobiographical memory
1761,-1.7516297040459912,autobiographical memory
1762,-2.847933443344114,autobiographical memory
1763,2.841250025579711,autobiographical memory
1764,-4.994950353999956,autobiographical memory
1765,3.1343811939678727,autobiographical memory
1766,2.8716961825119722,autobiographical memory
1767,1.9968019137067692,autobiographical memory
1768,-1.8467896137657294,autobiographical memory
